,h3 filter,h2 filter,p filter,div filter,h1 filter,span filter,li filter,h3 coil,h2 coil,p coil,div coil,h1 coil,span coil,li coil,h3 fan,h2 fan,p fan,div fan,h1 fan,span fan,li fan,h3 repair,h2 repair,p repair,div repair,h1 repair,span repair,li repair,h3 maintenance,h2 maintenance,p maintenance,div maintenance,h1 maintenance,span maintenance,li maintenance
0,,,,,,,,,,"
					            Installed 16 seer coil and condenser 
				            ",,,,,,,,,,Fannie,,Great Service and Awesome Repairman ,"Your Best Choice for Furnace and Air Conditioning Repair in Baton Rouge, LA","In the Walker, Baton Rouge, Hammond & surrounding Louisiana areas, Ward Mechanical Contractors is well known for providing exceptional ac repair, installation, and service. The people we send out to serve you are also top notch, something you'll see in their reviews below. Everyone you deal with at our company has the goal of making sure your experience with us will be so good you'll call us every time you need help. You can feel confident working with Ward Mechanical Contractors because we stand behind our work and comply with all local codes. This is why, as you can see by the map and reviews below, we are rated so highly for Furnace and Air Conditioning Repair in Baton Rouge, LA. Call us today at 225-667-6771!",,,,,,,"
					            Maintenance 
				            ",,,,
1,,,,,,,,,,"
					            Clean evaporator coil and condenser 
				            ",,,,,,,,,,,,,,"
					        Mike S. was my repairman that came out. He gave me excellent service, information and figured the problem with my air conditioning system. The cost was exceptional. We have been customers for numerous years and will continue to be. I highly recommend Ward Mechanical services to anyone that need a reliable air conditioning service company.
				        ",,,,,,,"
					            2 system heater maintenance 
				            ",,,,
2,,,,,,,,,,"
					            Coil. D plenum replacement 
				            ",,,,,,,,,,,,,,"
					            Repaired burned wire and replaced capacitor 
				            ",,,,,,,"
					            3 system maintenance 
				            ",,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            3 system maintenance 
				            ",,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            Maintenance 
				            ",,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            3 system maintenance 
				            ",,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            2 system maintenance 
				            ",,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            Air-conditioning maintenance
				            ",,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            3 system maintenance 
				            ",,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            Air conditioning maintenance
				            ",,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
					            3 system maintenance 
				            ",,,,
