model,manufacturer
PTC123G35AXXXAB,Amana
PBE123E35BB,Amana
EP08G11,Friedrich
AJEQ12DCE,General Electric
EZ4212B2C1S45AA,Islandaire
LT103HNR,LG
AZ41E12DAB,General Electric
AZ22E12D3BM2,General Electric
AZ41E12DABW1,General Electric
Unknown,Gree
PTC123B35AM,Amana
PTC123G35AXXXAA,Amana
PTC123B35AE,Amana
PTC153B35AE,Amana
PTC123E35AXXXAB,Amana
PTC123A35AC,Amana
52MEAU12301AA,Carrier
PTC123G5AXXXAA,Amana
Unknown,Carrier
Unknown,General Electric
52SEC512301RC,Carrier
52SEC514301RC,Carrier
PTC123E50AXXX,Amana
PTC123B35AMBP,Amana
PTC123B35AK,Amana
PTC123D35ARDA,Amana
LP123CD3A,LG
Unknown,LG
Unknown,Goodman
Unknown,Unknown
Unknown,Applied Comfort Products
Unknown,Frigidaire
Unknown,Zoneaire
PTC093G35AXXXAA,Amana
12B208,Remington
MWF-10CR,WestPointe
PTC094G35AXXX,Amana
PTC073G35AXXX,Amana
PTC074G35AXXX,Amana
PTC153G35AXXX,Amana
PTH093E35AXXX,Amana
PTH153G35AXXX,Amana
PDE09R3SF,Friedrich
PDE15K5SF,Friedrich
AZ41E07DAB,General Electric
AZ61H12DAB,General Electric
AZ61H15DAB,General Electric
EZ09A2GSN1S44AA,Islandaire
Unknown,Friedrich
52PE-307---3,Carrier
AZ38H12DABM1,General Electric
AZ28E09DABM2,General Electric
AZ28E09DAB,General Electric
12C208KXAB,McQuay
PTC093B25AM,Amana
PBH093E35BX,Amana
PTC123G35AXXX,Amana
PTH074E35AXXX,Amana
AZ61H09EAB,General Electric
AZ61H09DAB,General Electric
AZ61H15EAB,General Electric
EZ12A2GSP1S44AA,Islandaire
Unknown,Islandaire
24SPXR3-HP-A,First Co.
PDE15R5SF,Friedrich
52CEC312351AA,Carrier
PTH123G25AXXXAA,Amana
Unknown,Trane
PBH113E35BX,Amana
PTC073G25AXXX,Amana
PTC123G25AXXX,Amana
PTH073E25AXXX,Amana
PTH123E25AXXX,Amana
PTH124E35AXXX,Amana
PTH153E50AXXX,Amana
PDE09K3SF,Friedrich
PDE12K3SF,Friedrich
PDH09K3SF,Friedrich
AJCQ10DCE,General Electric
AJEQ10DCE,General Electric
AZ41E12EAB,General Electric
LP093HD3A,LG
PTH074E25AXXX,Amana
64HWC303A-2B,Armstrong Air
PBE123B35MB,Amana
52CEB312301AA,Carrier
52CEB312331AA,Carrier
52FEB310321EC,Carrier
52FED312301AA,Carrier
AJES12DCBM1,General Electric
AJES12DCCM2,General Electric
LT1030HRY7,LG
PTC123B25AJ,Amana
52CEA309301AA,Carrier
52FEC310321EC,Carrier
AJCS12DCBM1,General Electric
AJEQ12DCDW1,General Electric
AJES09DCCM2,General Electric
AJES10DCBW1,General Electric
AJES10DCCM2,General Electric
AJES12DCM1,General Electric
PTH093B35AMBP,Amana
PDE09K35F,Friedrich
AJEQ12DCEW1,General Electric
Unknown,ClimateMaster
AZ61H09DABW1,General Electric
AZ38H15DAB,General Electric
AZ41E15DAB,General Electric
AZ35H15D3B,General Electric
AJES09DCC,General Electric
52CEC312331AA,Carrier
52FEA310311EC,Carrier
52FEA312311EC,Carrier
52FEC310301AA,Carrier
AJJ10DFV1,General Electric
AJJ11DFV4,General Electric
LWHD2500ERY7,LG
PTA12G1AMBDC35D,ClimateMaster
PTC073B35AM,Amana
PTC093B50AMBP,Amana
PTC123B50AMBP,Amana
PTC123D50ARDA,Amana
PTC153B50AM,Amana
PTH153B35AJ,Amana
PTH153B35AM,Amana
PTH153B50AM,Amana
PDH12K3SB-A,Friedrich
PTA12G1,ClimateMaster
AZ28E12DABM3,General Electric
AZ38H09DAB,General Electric
AZ38H09DABM1,General Electric
AZ28E09EAB,General Electric
PTH093B25AM,Amana
AZ61H09EADW1,General Electric
PTH093B35AR,Amana
PTH093E35A,Amana
AJES12DCC,General Electric
AJES10DCC,General Electric
PTC093G25AXXX,Amana
PTC093G35AXXX,Amana
PTC123G50AXXX,Amana
PTC124G35AXXX,Amana
PTC153G50AXXX,Amana
PTH094E25AXXX,Amana
PTC153A50AD,Amana
PTC153B35AJ,Amana
PTC153B35AM,Amana
PTC153E35AXXXAA,Amana
PTH123B35AK,Amana
PTH123D35ARDA,Amana
PTH153B35AK,Amana
PTH153E35AXXXAA,Amana
PTH153E35AXXXAC,Amana
TEC12K34STC,Friedrich
LP120HED,LG
LP153HD3A,LG
Unknown,Sanyo
Unknown,Haier
516ANX018075,Carrier
516ANX024011,Carrier
52SEE309401RC,Carrier
52SEE307401AA,Carrier
52SEE309401AA,Carrier
52SEC314401AA,Carrier
PTC154G50AXXX,Amana
PTH094E35AXXX,Amana
AJEQ09DCE,General Electric
PDE12R3SF,Friedrich
PDH12K3SF,Friedrich
AZC309DBV2,General Electric
AZ35H09D5BM1,General Electric
PTH093E35AXXXAB,Amana
PTC093B25AC,Amana
PTH093G35AXXX,Amana
52CQ-312---3,Carrier
AZ28E15DAB,General Electric
CP24G30,Friedrich
PTC074G25AXXX,Amana
AZ41E09DAB,General Electric
PTH073B25AJ,Amana
PTH093B35AM,Amana
AJCS10ACBM1,General Electric
PTH123E35AXXXAC,Amana
52FE312-3-E,Carrier
PTC123E25AXXX,Amana
AZ41E09EAB,General Electric
PTC093E50AXXX,Amana
PTC154G35AXXX,Amana
PTH154E25AXXX,Amana
PTH123G35AXXX,Amana
EZ2612A2C1S44AA,Islandaire
LT123HNR,LG
PTC094G25AXXX,Amana
PTC093E35A,Amana
PTC093E35AXXX,Amana
PTH153E35AXXX,Amana
52FC010-1-E,Carrier
AZ31H12D5CV4,General Electric
AZ31H15D5CV5,General Electric
PTC123E50AXXXAB,Amana
PTC123B50AK,Amana
AJES09DCB,General Electric
AJEQ09DCD,General Electric
AH183A35MA,Amana
Unknown,Whirlpool
H1CA150A25C,York
PTH123E35A,Amana
PTH123E35AXXXAB,Amana
52CQC312331AA,Carrier
