question,answer,pdf_output,pdf_similarity,pdf_distance,web_output,web_similarity,web_distance,both_output,both_similarity,both_distance
What does the mode button do?,"This button cycles through the different modes which include COOL, HEAT, and FAN",The mode button allows the user to select the desired mode of operation.,0.6470688,0.8401561,The mode button is used to select the desired mode of operation.,0.66686,0.81625986,The mode button is used to select the desired mode of operation. The mode button is located on the front of the unit. The mode button is used to select the desired mode of operation. The mode button is located on the front of the unit.,0.56211007,0.9358311
Why is the PTAC leaking water?,"If a drain kit has not been installed, condensation runoff during hot and humid weather is normal. If a drain kit has been installed and is connected to a drain system, check gaskets and fittings around drain for leaks and plugs.","The PTAC is designed to be leak-free. If the PTAC is leaking water, it is most likely due to a clogged drain line.",0.3501373,1.1400552,The PTAC is leaking water because the outdoor coils are frozen.,0.33587253,1.1524994,The PTAC is leaking water because the outdoor coils are frozen.,0.33587253,1.1524994
How often should I clean the air filter?,The air filter should be cleaned once every two weeks,The air filter should be cleaned once every two weeks.,0.9798174,0.20091087,"The air filter should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.89317024,0.46223333,"The air filter should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.8931703,0.46223333
What does PTAC stand for?,PTAC stands for Packaged Terminal Air Conditioner,"PTAC stands for ""Programmable Thermostat Accessory"".",0.86124045,0.5268008,"PTAC stands for ""Passive Total Air Conditioning.""",0.9330873,0.36582166,"PTAC stands for ""Passive Total Air Conditioning.""",0.9330873,0.36582166
Why is the fan not working?,The fan motor may be faulty or there could be debris in the way restricting its movement,The fan is not working because the unit is not in heating mode.,0.6837601,0.7952858,The fan motor may be defective.,0.89708734,0.45367974,The fan motor may be defective.,0.89708734,0.45367974
Why is the PTAC making noise?,"Clicking, gurgling, and whooshing noises are normal during operation of unit.",The PTAC is designed to make noise when it is heating or cooling. This is normal.,0.47650722,1.0232229,The PTAC is making noise because it is not operating properly.,0.3634414,1.128325,The PTAC is making noise because it is not operating properly.,0.3634414,1.128325
Why is there ice forming on my PTAC?,"When outdoor temperature is approximately 55 degrees Fahrenheit or below, frost may form on the indoor coil when unit is in cooling mode. Switch unit to FAN operation until ice or frost melts.","The PTAC is designed to operate in a wide range of temperatures. When the outdoor temperature is approximately 55°F or below, frost may form on the indoor coil. This is normal and does not indicate a problem with the unit.",0.7533488,0.7023549,"The PTAC is designed to operate with the outdoor vents open. If the outdoor vents are closed, the PTAC will not operate properly.",0.3852617,1.1088177,"The PTAC is designed to operate with the outdoor vents open. If the outdoor vents are closed, the PTAC will not operate properly.",0.3852617,1.1088177
When should should a PTAC be replaced?,You should change your PTAC unit every 10 years.,The PTAC should be replaced when the compressor fails or the unit is no longer under warranty.,0.6398607,0.84869236,When the unit is no longer able to maintain the desired temperature in the room.,0.33403012,1.1540973,When the unit is no longer able to maintain the desired temperature in the room.,0.33403012,1.1540973
Why is the PTAC overheating?,This can be caused by not enough refrigerant in the system or a kink in the refrigerant line,"The PTAC is designed to operate within a temperature range of 40°F to 120°F (4.4°C to 49.5°C). If the PTAC is overheating, the unit will automatically shut down.",0.34134173,1.1477444,The PTAC is overheating because the air is not being cooled properly.,0.520063,0.9797319,The PTAC is overheating because the air is not being circulated properly.,0.5435072,0.95550287
Why is my PTAC not turning on?,"Make sure it is properly connected to a reliable power source. If so, use a multi-meter to test to the terminal strip for voltage",The PTAC may not turn on if the thermostat is not wired correctly.,0.29650795,1.1861635,Check the power cord.,0.6892841,0.78830934,Check the power cord.,0.6892841,0.78830934
