question,answer,pdf_output,pdf_similarity,pdf_distance,web_output,web_similarity,web_distance,both_output,both_similarity,both_distance
What does the mode button do?,"This button cycles through the different modes which include COOL, HEAT, and FAN",The mode button allows the user to select the desired mode of operation.,0.8284137131929951,0.5858093254497816,The mode button is used to select the desired mode of operation.,0.8129168091564145,0.6116913846261611,The mode button is used to select the desired mode of operation. The mode button is located on the front of the unit. The mode button is used to select the desired mode of operation. The mode button is located on the front of the unit.,0.78027582235799,0.6629090071148743
Why is the PTAC leaking water?,"If a drain kit has not been installed, condensation runoff during hot and humid weather is normal. If a drain kit has been installed and is connected to a drain system, check gaskets and fittings around drain for leaks and plugs.","The PTAC is designed to be leak-free. If the PTAC is leaking water, it is most likely due to a clogged drain line.",0.8322791682595329,0.5791732718974882,The PTAC is leaking water because the outdoor coils are frozen.,0.7347070567636418,0.7284132857295725,The PTAC is leaking water because the outdoor coils are frozen.,0.7356730982800308,0.7270858696324427
How often should I clean the air filter?,The air filter should be cleaned once every two weeks,The air filter should be cleaned once every two weeks.,0.9828957959424544,0.18495515421999323,"The air filter should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.7929115112618215,0.6435658589712077,"The air filter should be cleaned once per month. Filters that are not cleaned will become clogged and restrict airflow, which can lead to major component damage. If an air filter becomes torn, has holes, or other damage, replace it with a",0.7940568833434252,0.6417836622254033
What does PTAC stand for?,PTAC stands for Packaged Terminal Air Conditioner,"PTAC stands for ""Programmable Thermostat Accessory"".",0.8981882979960237,0.4512465141043721,"PTAC stands for ""Passive Total Air Conditioning.""",0.9221792874001354,0.39451417236737063,"PTAC stands for ""Passive Total Air Conditioning.""",0.9216418440569967,0.3958741031510094
Why is the fan not working?,The fan motor may be faulty or there could be debris in the way restricting its movement,The fan is not working because the unit is not in heating mode.,0.7937056914334183,0.6423306221359467,The fan motor may be defective.,0.895508922863983,0.45714567062234446,The fan motor may be defective.,0.8957234726989705,0.45667611301267447
Why is the PTAC making noise?,"Clicking, gurgling, and whooshing noises are normal during operation of unit.",The PTAC is designed to make noise when it is heating or cooling. This is normal.,0.8759379725014932,0.4981205238235065,The PTAC is making noise because it is not operating properly.,0.7531285985416948,0.7026683575043398,The PTAC is making noise because it is not operating properly.,0.7539341655678764,0.701520984317035
Why is there ice forming on my PTAC?,"When outdoor temperature is approximately 55 degrees Fahrenheit or below, frost may form on the indoor coil when unit is in cooling mode. Switch unit to FAN operation until ice or frost melts.","The PTAC is designed to operate in a wide range of temperatures. When the outdoor temperature is approximately 55°F or below, frost may form on the indoor coil. This is normal and does not indicate a problem with the unit.",0.89414878200801,0.4601113192858903,"The PTAC is designed to operate with the outdoor vents open. If the outdoor vents are closed, the PTAC will not operate properly.",0.8282805293400478,0.5860366164595704,"The PTAC is designed to operate with the outdoor vents open. If the outdoor vents are closed, the PTAC will not operate properly.",0.8268821880506892,0.5884178711210375
When should should a PTAC be replaced?,You should change your PTAC unit every 10 years.,The PTAC should be replaced when the compressor fails or the unit is no longer under warranty.,0.8506915987981133,0.5464584023969977,When the unit is no longer able to maintain the desired temperature in the room.,0.7247833675796614,0.7419119012297011,When the unit is no longer able to maintain the desired temperature in the room.,0.7251550283889364,0.7414107779088337
Why is the PTAC overheating?,This can be caused by not enough refrigerant in the system or a kink in the refrigerant line,"The PTAC is designed to operate within a temperature range of 40°F to 120°F (4.4°C to 49.5°C). If the PTAC is overheating, the unit will automatically shut down.",0.7287486879093786,0.7365477806083868,The PTAC is overheating because the air is not being cooled properly.,0.8267543224574351,0.5886351518520764,The PTAC is overheating because the air is not being circulated properly.,0.8173140897685717,0.604459924105959
Why is my PTAC not turning on?,"Make sure it is properly connected to a reliable power source. If so, use a multi-meter to test to the terminal strip for voltage",The PTAC may not turn on if the thermostat is not wired correctly.,0.7634410739929216,0.6878356528191333,Check the power cord.,0.7617176464850595,0.6903366693641696,Check the power cord.,0.7620139166894878,0.6899073955371857
Why is the PTAC spitting out water?,The position might need to be adjusted. Make sure the PTAC is level,"The PTAC is designed to operate in a humid environment. If the PTAC is installed in a dry environment, the PTAC will spit out water.",0.7152141750953316,0.7546997284833449,The PTAC is spitting out water because it is not installed correctly.,0.7647978814723052,0.6858602049561968,The PTAC is spitting out water because it is not installed correctly.,0.763589150526653,0.6876203220964677
Why is the PTAC not cooling the room to the desired temperature?,"Check to see that it has refrigerant. If so, the PTAC may need a new thermostat","The PTAC is designed to cool the room to the setpoint temperature. If the room temperature is too high, the compressor will be turned off and the electric heat will be turned on. If the room temperature is too low, the compressor will be",0.7717467055679416,0.6756527198450903,The PTAC is not cooling the room to the desired temperature.,0.7969271442040783,0.637295612607709,"The PTAC is designed to provide cooling to the room only when the room is occupied. If the room is not occupied, the PTAC will not provide cooling.",0.7852361897390933,0.6553835529065003
Why is the PTAC not heating the room to the desired temperature?,The PTAC may need a new thermostat,"The PTAC is designed to heat the room to the desired temperature. If the room temperature is too low, the PTAC will turn on the electric strip heat to warm the room to the desired temperature. If the room temperature is too high, the",0.7371923808881576,0.7249932453018834,The PTAC is not heating the room to the desired temperature.,0.8526804008138489,0.5428067797542117,"The PTAC is designed to heat the room to the desired temperature. If the room is not heating to the desired temperature, check the following: ●      The PTAC is not operating. ●      The PTAC is not connected to the",0.7335742167064017,0.7299668080923247
How can I make my PTAC more efficient?,Make sure the unit and air filters are clean,The PTAC has many features that can be used to make the unit more efficient. The user must be familiar with these features in order to properly service the unit.,0.7286053101687576,0.7367423889582584,"PTACs are designed to be energy efficient. However, there are a few things you can do to make your PTAC more efficient.",0.7379244857852794,0.7239827519843519,"PTACs are designed to be energy efficient. However, there are a few things you can do to make your PTAC more efficient.",0.737379839819224,0.7247346278016021
How does the cooling work?,Cooling begins automatically when the room temperature is four degrees below the setpoint,The cooling system is a heat pump. The heat pump is a device that uses the refrigerant to transfer heat from the indoor air to the outdoor air. The refrigerant is a gas that is pumped through the system. The refrigerant is a liquid,0.7726649420102374,0.6742923113383854,"The cooling process is a continuous cycle. The compressor is always running, and the evaporator coil is always being cooled.",0.7869574212609654,0.6527519946795414,"The cooling process is a continuous cycle. The compressor is always running, and the evaporator coil is always being cooled.",0.7853581879790775,0.6551974088206356
What is the maximum temperature that I can set?,The maximum temperature is eighty four degrees,The maximum temperature that can be set is 84°F/29°C.,0.8610642038652858,0.5271352571652865,The maximum temperature that you can set is the temperature that the thermostat is set to.,0.7807560093424598,0.6621842604504882,The maximum temperature that can be set is 84°F/29°C.,0.8631729289284115,0.5231196299215177
How do I change the temperature?,Press the plus or minus buttons to increase or decrease the temperature,Press the UP or DOWN button to change the temperature.,0.9064238402153906,0.4326110486346812,The temperature can be changed by pressing the temperature button on the remote control.,0.8603737646174835,0.5284434523278828,Press the SETPOINT UP or SETPOINT DOWN button to change the temperature.,0.8986517207467779,0.4502183315961987
How do I switch between fahrenheit and celsius?,Press and hold both the plus and minus buttons to change between fahrenheit and celsius,The PTAC control panel has a switch that allows you to select between the two scales.,0.8267139934030739,0.5887036901786902,The PTAC unit has a switch on the front panel that allows you to switch between the two.,0.8023785718428192,0.6286834311736688,The PTAC has a built in temperature sensor that will automatically adjust the temperature setting to the current temperature. The PTAC will automatically adjust the temperature setting to the current temperature.,0.7762275957429137,0.6689878732700264
How do I change the fan speed?,Press the button labeled speed to change the speed of the fan,Press the FAN button to cycle through the fan speeds.,0.9161828474648309,0.4094316863941113,The fan speed can be changed by pressing the fan speed button on the control panel.,0.9022734170224421,0.44210086540043797,The fan speed can be changed by pressing the FAN button. The fan speed will cycle through the settings as follows: P °C Med O OHeat HIGH-MED-LOW-HIGH. °F Low o OFan CONSTANT,0.8115219451789796,0.6139675262919926
What is the LC error code?,The LC error code indicates that the PTAC control panel is disabled and can only be controlled via the wall thermostat,The LC error code is a code that indicates a problem with the control board.,0.8169334077685132,0.6050894169292472,The LC error code is a code that is displayed on the LCD screen of the air conditioner. It is a code that indicates that the air conditioner is not operating properly.,0.8505869956546476,0.5466498367921985,The LC error code is a code that is displayed on the control panel. It is a code that indicates a problem with the air conditioner.,0.8507649421877529,0.5463242202326657
What is the FC error code?,The FC error code indicates that the PTAC control panel is disabled and can only be controlled via the front desk control,The FC error code is a code that indicates a problem with the evaporator coil.,0.8265849975585248,0.5889227335944595,The FC error code is a code that is displayed on the control panel of the air conditioner. It is a code that is displayed when the air conditioner is not functioning properly.,0.8313793475517445,0.5807248201063607,The FC error code is a code that is displayed on the control panel when the unit is in heating mode. The FC error code is displayed when the unit is in heating mode and the outdoor temperature is below the setpoint temperature.,0.8146495513770402,0.6088521180056166
