question,answer,ada_output,ada_similarity,ada_distance,bab_output,bab_similarity,bab_distance,cur_output,cur_similarity,cur_distance,dav_output,dav_similarity,dav_distance
What does the mode button do?,"This button cycles through the different modes which include COOL, HEAT, and FAN",The mode button is used to change the mode of the unit. Press the button to change the mode. Press the button to change the mode. Press the button to change the mode. Press the button to change the mode. Press the button to change,0.5981702,0.8964707,The mode button is used to select the operating mode of the unit. Pressing the mode button will change the operating mode of the unit. Pressing the mode button will change the operating mode of the unit. Pressing the mode button will change the,0.5776699,0.91905385,The mode button allows the user to select the desired mode of operation.,0.6470688,0.8401561,"The mode button allows the user to select the operating mode of the unit.
 The mode button allows the user to select the operating mode of the unit.",0.5825608,0.9137168
Why is the PTAC leaking water?,"If a drain kit has not been installed, condensation runoff during hot and humid weather is normal. If a drain kit has been installed and is connected to a drain system, check gaskets and fittings around drain for leaks and plugs.","The PTAC is designed to be installed in a wall-mounted location. The water is not a problem if the wall is not installed. However, if the wall is installed, the water will be a problem. The water will collect in the wall",0.32035762,1.1658835,"The PTAC is designed to be leak-proof. However, if the unit is not properly installed, water may be leaking from the condenser. If this is the case, the condenser may be damaged. If the condenser is damaged,",0.38542736,1.1086683,"The PTAC is designed to operate with a minimum of water. If the unit is not properly installed, the water may leak from the unit.",0.35505253,1.1357356,The PTAC is designed to remove condensate from the indoor coil and drain it to the condenser. Condensate may leak from the unit if the drain line is clogged or the drain line is not installed properly.,0.4051019,1.0907779
How often should I clean the air filter?,The air filter should be cleaned once every two weeks,The air filter should be cleaned every 3 months. The air filter is not a part of the unit. Cleaning the air filter is not necessary. The air filter is not a part of the unit. Cleaning the air filter is not necessary.,0.85930574,0.5304607,The air filter should be cleaned every 30 days. See the Care and Cleaning section for more information.,0.9369917,0.35498846,The air filter should be cleaned at least every 30 days.,0.9680279,0.2528722,Clean the air filter every 30 days.,0.85538137,0.53780794
What does PTAC stand for?,PTAC stands for Packaged Terminal Air Conditioner,"PTAC stands for ""Power-Tec Air Conditioning"". The PTAC is a new, high-efficiency, low-cost, energy-saving, energy-saving, energy-saving, energy-saving, energy-saving, energy-",0.89526427,0.45768073,"PTAC stands for ""Power Transfer Unit"".",0.8473018,0.552627,"PTAC stands for ""Penthouse Tower Air Conditioner"".",0.9243841,0.38888544,PTAC stands for Packaged Terminal Air Conditioner.,0.9919318,0.12702969
Why is the fan not working?,The fan motor may be faulty or there could be debris in the way restricting its movement,The fan is not working. The fan is not working. The fan is not working. The fan is not working. The fan is not working. The fan is not working. The fan is not working. The fan is not working. The fan,0.60242456,0.8917125,"The fan motor may be defective. Check the fan motor for any signs of damage. If the fan motor is defective, the fan will not work. Check the fan motor for any signs of damage. If the fan motor is defective, the fan will",0.8184262,0.60261744,"Check the power cord. If the power cord is not fixed well, the fan will not work.",0.7871691,0.65242785,"The fan will not operate if the unit is in the OFF mode.
 The fan will not operate if the unit is in the OFF mode.
 The fan will not operate if the unit is in the OFF mode.
A",0.49165046,1.0083151
Why is the PTAC making noise?,"Clicking, gurgling, and whooshing noises are normal during operation of unit.",The PTAC is designed to be used in a quiet environment. The noise level is designed to be low enough to be heard by the person operating the unit. The noise level is designed to be low enough to be heard by the person operating the unit,0.22556709,1.2445345,The PTAC is designed to operate quietly. The fan motor is designed to run at a low speed to prevent noise. The fan motor is designed to run at a high speed to prevent noise. The fan motor is designed to run at a low speed,0.20797344,1.2585918,"The PTAC is designed to operate at a low noise level. If the noise level is too high, the PTAC may be operating in the wrong mode.",0.21580045,1.2523574,The PTAC is designed to make some noise. The noise is caused by the compressor and fan motor. The noise is normal and should not be considered a defect.,0.46350247,1.0358546
Why is there ice forming on my PTAC?,"When outdoor temperature is approximately 55 degrees Fahrenheit or below, frost may form on the indoor coil when unit is in cooling mode. Switch unit to FAN operation until ice or frost melts.",Ice forms on the indoor coil when the unit is in cooling mode. The ice forms on the indoor coil when the unit is in cooling mode. Ice forms on the indoor coil when the unit is in cooling mode. Ice forms on the indoor coil when,0.7171133,0.752179,The unit may be in a protection mode. The unit may be set for °C (instead of °F). Unit may be in a protection mode Reset circuit breaker. See Note 1. Unit may be in a protection mode. The unit may be,0.5169481,0.98290586,"The PTAC is designed to operate in cooling mode. When the outdoor temperature is approximately 55°F or below, frost may form on the indoor coil. This is normal and is not a defect.",0.69970816,0.7749733,"When the outdoor temperature is approximately 55°F or below, frost may form on the indoor coil when the unit is in cooling mode. Switch the unit to FAN operation until the ice or frost melts.
 Why is there water dripping from",0.8004086,0.63180923
When should should a PTAC be replaced?,You should change your PTAC unit every 10 years.,The PTAC is a great addition to any home. It is a great way to save energy and reduce the amount of energy used in the home. The PTAC is a great way to save energy and reduce the amount of energy used in the home,0.4581075,1.0410502,A PTAC should be replaced when the following conditions occur: 1. The unit is not operating properly. 2. The unit is not operating at the desired temperature. 3. The unit is not operating at the desired humidity. 4. The unit is,0.6332069,0.85649663,The Friedrich PTAC is designed to last the life of the home. The Friedrich PTAC is a high quality product that is designed to last the life of the home. The Friedrich PTAC is a high quality product that is designed to last the life,0.55144966,0.9471539,A PTAC should be replaced when it is no longer able to maintain the desired room temperature.,0.65859914,0.8263184
Why is the PTAC overheating?,This can be caused by not enough refrigerant in the system or a kink in the refrigerant line,The PTAC is designed to operate at a constant temperature of 32°F (0°C) to 40°F (4.4°C). The unit is designed to operate at a constant temperature of 32°F (0°C),0.25830856,1.2179422,The PTAC is designed to operate at a maximum temperature of 140°F (60°C). The PTAC is designed to operate at a maximum temperature of 140°F (60°C). The PTAC is designed to operate at a maximum,0.2121687,1.2552541,"The PTAC is designed to operate within a temperature range of 40°F to 80°F (4.4°C to 27°C). If the PTAC is overheating, the fan may be running continuously. If the PTAC is",0.35961863,1.1317079,The PTAC is overheating because the room is too cold.,0.48026735,1.019542
Why is my PTAC not turning on?,"Make sure it is properly connected to a reliable power source. If so, use a multi-meter to test to the terminal strip for voltage",The PTAC is not turning on. The reason is that the unit is not installed properly. The unit is not installed properly because the unit is not properly installed. The unit is not installed properly because the unit is not properly installed. The unit is,0.34450385,1.1449858,The PTAC may not turn on because of a faulty power cord or a loose connection.,0.4640419,1.0353339,"The Friedrich PTAC is designed to turn on automatically when the outdoor temperature reaches a certain level. If the outdoor temperature is below the set point, the Friedrich PTAC will not turn on until the outdoor temperature reaches the set point.",0.2102509,1.256781,The unit may be in the defrost cycle. Check the defrost timer.,0.5074011,0.99257135
