question,answer,model_output,model,cosine_similarities,euclidean_distances
What does the mode button do?,"This button cycles through the different modes which include COOL, HEAT, and FAN",The mode button is used to change the fan speed. The fan speed is controlled,first-run-raw(long-deleted).jsonl,0.7397312,0.72148293
Why is the PTAC leaking fluid?,"There is most likely a crack in a pipe or the drain pan. This can be quickly fixed by using water sealant, but the best option is to replace the cracked pipe or pan",The PTAC is a refrigerant-based unit. When the unit is not,first-run-raw(long-deleted).jsonl,0.08694167,1.3513387
How often should I clean the air filter?,The air filter should be cleaned once every two weeks,Cleaning the air filter is a simple and easy task. Simply follow the instructions,first-run-raw(long-deleted).jsonl,0.7123332,0.7585074
What does PTAC stand for?,PTAC stands for Packages Terminal Air Conditioner,"PTAC stands for ""Post-Maintenance Check"".
===
Context:",first-run-raw(long-deleted).jsonl,0.7721545,0.67504895
Why is the fan not working?,The fan motor may be faulty or there could be debris in the way restricting its movement,"The fan motor is not working.

===
Context: This appliance is",first-run-raw(long-deleted).jsonl,0.6370643,0.851981
Why is the PTAC so noisy?,The fan blades may be loose,"The PTAC is a high-efficiency, high-efficiency, high-efficiency",first-run-raw(long-deleted).jsonl,-0.010047509,1.4213004
Why is there ice forming on my PTAC?,Ice can form due to a buildup of dirt and dust within the system,Ice forms on the coils when the refrigerant is not being circulated properly. Ice,first-run-raw(long-deleted).jsonl,0.5113736,0.988561
When should should a PTAC be replaced?,You should change your PTAC unit every 10 years.,"When the unit is in need of repair or replacement.
---",first-run-raw(long-deleted).jsonl,0.4447735,1.0537803
Why is the PTAC overheating?,This can be caused by not enough refrigerant in the system or a kink in the refrigerant line,The PTAC is designed to operate at a constant temperature of -40°F,first-run-raw(long-deleted).jsonl,0.3032419,1.1804732
Why is my PTAC not turning on?,"Make sure it is properly connected to a reliable power source. If so, use a multi-meter to test to the terminal strip for voltage","Your PTAC unit is not turning on.
---",first-run-raw(long-deleted).jsonl,0.41486612,1.0817889
Why is the PTAC spitting out water?,The position might need to be adjusted. Make sure the PTAC is level,The PTAC is designed to operate with a refrigerant that is not designed to,first-run-raw(long-deleted).jsonl,0.33221617,1.1556675
Why is the PTAC not cooling the room to the desired temperature?,"Check to see that it has refrigerant. If so, the PTAC may need a new thermostat",The PTAC unit is designed to provide a minimum of cooling to the room.,first-run-raw(long-deleted).jsonl,0.57689273,0.91989934
Why is the PTAC not heating the room to the desired temperature?,The PTAC may need a new thermostat,"The PTAC is designed to provide a warm, comfortable environment for the guest.",first-run-raw(long-deleted).jsonl,0.46539828,1.0340229
How can I make my PTAC more efficient?,Make sure the unit and air filters are clean,The PTAC is designed to operate at a constant speed. The unit is designed,first-run-raw(long-deleted).jsonl,0.1477651,1.3055534
How does the cooling work?,Cooling begins automatically when the room temperature is four degrees below the setpoint,The cooling system works by sending refrigerant to the coils. The coils attract heat,first-run-raw(long-deleted).jsonl,0.4796442,1.0201528
What is the maximum temperature that I can set?,The maximum temperature is eighty four degrees,The maximum temperature that you can set is the temperature that you want to use.,first-run-raw(long-deleted).jsonl,0.5783447,0.9183194
How do I change the temperature?,Press the plus or minus buttons to increase or decrease the temperature,Turn off the unit and remove the fan. Turn the unit on again and remove,first-run-raw(long-deleted).jsonl,0.41414794,1.0824528
How do I switch between fahrenheit and celsius?,Press and hold both the plus and minus buttons to change between fahrenheit and celsius,The unit is set to fahrenheit. The unit is set to celsius,first-run-raw(long-deleted).jsonl,0.7756427,0.6698618
How do I change the fan speed?,Press the button labeled speed to change the speed of the fan,"Turn the unit off and unplug it.
---",first-run-raw(long-deleted).jsonl,0.37603083,1.117112
What is the LC error code?,The LC error code indicates that the PTAC control panel is disabled and can only be controlled via the wall thermostat,The LC error code is a code that indicates that the fan is not operating properly,first-run-raw(long-deleted).jsonl,0.6548481,0.83084536
What is the FC error code?,The FC error code indicates that the PTAC control panel is disabled and can only be controlled via the front desk control,The FC error code is a code that indicates that the fan is not operating properly,first-run-raw(long-deleted).jsonl,0.57590604,0.9209715
What is the AS error code?,The AS error code indicates there is a room temperature sensor error,The AS error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.75614274,0.6983655
What is the ES error code?,The ES error code indicates there is an evaporator temperature sensor error,The ES error code is a code that indicates that the unit is not operating properly,first-run-raw(long-deleted).jsonl,0.7756318,0.66987807
What is the CS error code?,The CS error code indicates there is a condenser temperature sensor error,The CS error code is a code that indicates that the PTAC is not operating,first-run-raw(long-deleted).jsonl,0.6220224,0.86945695
What is the OS error code?,The OS error code indicates there is an outside temperature sensor error,The OS error code is the number that is displayed on the LCD screen when the,first-run-raw(long-deleted).jsonl,0.5713333,0.9259228
What is the HS error code?,The HS error code indicates there is an exhaust temperature sensor error,The HS error code is a code that indicates that the PTAC is not operating,first-run-raw(long-deleted).jsonl,0.60662174,0.8869931
