,h3 filter,h2 filter,p filter,div filter,h1 filter,span filter,li filter,h3 coil,h2 coil,p coil,div coil,h1 coil,span coil,li coil,h3 fan,h2 fan,p fan,div fan,h1 fan,span fan,li fan,h3 repair,h2 repair,p repair,div repair,h1 repair,span repair,li repair,h3 maintenance,h2 maintenance,p maintenance,div maintenance,h1 maintenance,span maintenance,li maintenance
0,"<h3>
      PTAC Front Filters
     </h3>",,"<p>
      Clean PTAC air filters at least once each month, or more often in a new facility or one with new carpeting. Clogged filters can cause major damage to your PTAC system components. In fact, dirty filters can decrease HVAC operating efficiency by as much as 20% while reducing energy costs.
     </p>",,,,,"<h3>
       PTAC Indoor Evaporator Coil
      </h3>",,"<p>
       3. Inspect the evaporator coil for debris.
      </p>",,,,,,,,,,,,,,,,,,,,"<h2>
      PTAC Monthly Maintenance
     </h2>","<p class=""guide-type"">
     Maintenance Guide
    </p>",,,,
1,"<h3>
       PTAC Outdoor Vent Filter
      </h3>",,"<p>
      To clean the PTAC filter:
     </p>",,,,,"<h3>
       PTAC Outdoor Condenser Coil &amp; Base Pan
      </h3>",,"<p>
       If you are worried about fungus or debris falling into a coil, insert a piece of cardboard between the blower wheel and the opening in the blower scroll.
      </p>",,,,,,,,,,,,,,,,,,,,"<h2>
       PTAC Seasonal Maintenance
      </h2>","<p>
       To conduct this PTAC maintenance:
      </p>",,,,
2,,,"<p>
       2. Remove the PTAC filters (for some PTACs, you may need to remove the front panel to access the filters).
      </p>",,,,,,,"<p>
       Dirty outdoor coils can increase your heating and cooling bills while decreasing the life of your PTAC units. PTACs located on lower floors tend to get dirtier than PTACs on upper floors and should be checked seasonally.
      </p>",,,,,,,,,,,,,,,,,,,,"<h2>
       PTAC Post-Maintenance Check: Clearance and Operation
      </h2>","<p>
       Checking your wall sleeve can be done while completing any of the other seasonal PTAC maintenance steps when your PTAC is removed from the wall.
      </p>",,,,
3,,,"<p>
       3. Vacuum accumulated dust and dirt off the filters.
      </p>",,,,,,,"<p>
       Outdoor coils on these PTACs may need to be cleaned more often to prevent premature failure of the compressor. This is especially true if the PTACs are exposed to construction sites, freeways, flowering trees and other pollutants.
      </p>",,,,,,,,,,,,,,,,,,,,"<h2>
        Keeping Track of PTAC Maintenance
       </h2>","<p>
       After performing maintenance on your PTAC unit, verify it is operating properly.
      </p>",,,,
4,,,"<p>
       4. Discard damaged filters.
      </p>",,,,,,,"<p>
       4. Remove plastic shroud to access the PTAC coils and base pan. Check the inside of the condenser coil for dirt or soot buildup.
      </p>",,,,,,,,,,,,,,,,,,,,,"<p>
        It is important to keep track of the maintenance performed on each PTAC unit in your facility. That way, when responsibilities or staff change, other members can see what has been completed and what is next on the list.
       </p>",,,,
5,,,"<p>
       5. Rinse filters under running water.
      </p>",,,,,,,"<p>
       6. Apply a mild coil cleaner to coils and base pan with a spray bottle and rinse out using a hose with a spray attachment.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,
6,,,"<p>
       6. Return filters to the PTAC and replace discarded filters with new ones. Complete this before plugging in and turning on the PTAC.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,"<p>
       Keeping extra filters on hand will reduce potential heating and/or cooling downtime. You can trade them in to replace the dirty filters and have your PTACs running right away. Afterward, clean your dirty PTAC filters so they are ready for the next replacement cycle.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,"<p>
       If your PTAC unit operates with the outdoor vents open, clean the vent filter monthly to ensure it operates as efficiently as possible. This will keep air flowing freely. If the vents are closed, cleaning is not needed.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,"<p>
       To clean the PTAC’s outdoor vent filter:
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,"<p>
       3. Pull the PTAC from the sleeve and remove the filter.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,"<p>
       4. Vacuum accumulated dust and dirt off the filter.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,"<p>
       5. Rinse the filter with running water and allow it to dry completely.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"<p>
       7. Replace the filter and slide the PTAC back into the sleeve.
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"<p>
       An air filter with dust and dirt on it can cause operational problems. To clean the PTAC:
      </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
